SKU,Master SKU,COG,GSTPerc,TransportationCost,StockistMarkup
ADAT0023MRBL,23MRBL,195,0.18,0,6
AFAT0023MRBL,23MRBL,195,0.18,0,6
DBCAT0023MRBL,23MRBL,195,0.18,0,6
FRAT0023MRBL,23MRBL,195,0.18,0,6
HMAT0023MRBL,23MRBL,195,0.18,0,6
ADAT0023MRBLU,23MRBLUE,195,0.18,0,6
AFAT0023MRBLU,23MRBLUE,195,0.18,0,6
DBCAT0023MRBLU,23MRBLUE,195,0.18,0,6
FRAT0023MRBLU,23MRBLUE,195,0.18,0,6
HMAT0023MRBLU,23MRBLUE,195,0.18,0,6
ADV1WM00024BRBR,24BROWN,195,0.18,0,5
AFV1WM0024BRBL,24BROWN,195,0.18,0,5
AFV1WM0024BRBR,24BROWN,195,0.18,0,5
BKV1WM00024BRBR,24BROWN,195,0.18,0,5
BKWM00024BROWN,24BROWN,195,0.18,0,5
DBCV1WM00024BRBR,24BROWN,195,0.18,0,5
DBCWM00024BROWN,24BROWN,195,0.18,0,5
FRV1WM00024BRBR,24BROWN,195,0.18,0,5
HMV1WM00024BRBR,24BROWN,195,0.18,0,5
AFAT0032BLBL,32BLACK,176,0.18,0,4
AFAT0032BLK,32BLACK,176,0.18,0,4
AF0032BROWN,32BROWN,176,0.18,0,4
9011BLACK,9011BLACK,103,0.18,0,3
AFCH9011BLBL,9011BLACK,103,0.18,0,3
9011BROWN,9011BROWN,103,0.18,0,3
AFCH9011BRBR,9011BROWN,103,0.18,0,3
ADV1AT7BRBR,AT7BROWN,164,0.18,0,0
BKV1AT7BRBR,AT7BROWN,164,0.18,0,0
DBCV1AT7BRBR,AT7BROWN,164,0.18,0,0
FRV1AT7BRBR,AT7BROWN,164,0.18,0,0
HMV1AT7BRBR,AT7BROWN,164,0.18,0,0
ADV1AT7MRMR,AT7MR,164,0.18,0,0
ADV2AT7MRMR,AT7MR,164,0.18,0,0
DBCV1AT7MRMR,AT7MR,164,0.18,0,0
DBCV2AT7MRMR,AT7MR,164,0.18,0,0
FRV1AT7MRMR,AT7MR,164,0.18,0,0
FRV2AT7MRMR,AT7MR,164,0.18,0,0
HMV1AT7MRMR,AT7MR,164,0.18,0,0
HMV2AT7MRMR,AT7MR,164,0.18,0,0
ADV1AT7TNTN,AT7TAN,164,0.18,0,0
BKAT7TNTN,AT7TAN,164,0.18,0,0
BKV1AT7TNTN,AT7TAN,164,0.18,0,0
DBCAT7TNTN,AT7TAN,164,0.18,0,0
DBCV1AT7TNTN,AT7TAN,164,0.18,0,0
FRV1AT7TNTN,AT7TAN,164,0.18,0,0
HMV1AT7TNTN,AT7TAN,164,0.18,0,0
TSAT7TNTN,AT7TAN,164,0.18,0,0
ADPUVS222BLBL,VS222BLACK,153,0.18,0,3.5
ADV1VS222BLBL,VS222BLACK,153,0.18,0,3.5
AFV1VS222BLBL,VS222BLACK,153,0.18,0,3.5
BKPUVS222BLBL,VS222BLACK,153,0.18,0,3.5
BKV1VS222BLBL,VS222BLACK,153,0.18,0,3.5
DBCV1VS222BLBL,VS222BLACK,153,0.18,0,3.5
FRV1VS222BLBL,VS222BLACK,153,0.18,0,3.5
HMPUVS222BLBL,VS222BLACK,153,0.18,0,3.5
HMV1VS222BLBL,VS222BLACK,153,0.18,0,3.5
TSPUVS222BLBL,VS222BLACK,153,0.18,0,3.5
TSV1VS222BLBL,VS222BLACK,153,0.18,0,3.5
ADPUVS222BRBR,VS222BROWN,153,0.18,0,3.5
ADV1VS222BRBR,VS222BROWN,153,0.18,0,3.5
AFV1VS222BRBR,VS222BROWN,153,0.18,0,3.5
BKPUVS222BRBR,VS222BROWN,153,0.18,0,3.5
BKV1VS222BRBR,VS222BROWN,153,0.18,0,3.5
DBCPUVS222BRBR,VS222BROWN,153,0.18,0,3.5
DBCV1VS222BRBR,VS222BROWN,153,0.18,0,3.5
FRV1VS222BRBR,VS222BROWN,153,0.18,0,3.5
HMPUVS222BRBR,VS222BROWN,153,0.18,0,3.5
HMV1VS222BRBR,VS222BROWN,153,0.18,0,3.5
TSPUVS222BRBR,VS222BROWN,153,0.18,0,3.5
TSV1VS222BRBR,VS222BROWN,153,0.18,0,3.5
ADPUVS222TNTN,VS222TAN,153,0.18,0,3.5
ADV1VS222TNTN,VS222TAN,153,0.18,0,3.5
AFV1VS222TNTN,VS222TAN,153,0.18,0,3.5
BKPUVS222TNTN,VS222TAN,153,0.18,0,3.5
BKV1VS222TNTN,VS222TAN,153,0.18,0,3.5
DBCPUVS222TNTN,VS222TAN,153,0.18,0,3.5
DBCV1VS222TNTN,VS222TAN,153,0.18,0,3.5
FRV1VS222TNTN,VS222TAN,153,0.18,0,3.5
HMPUVS222TNTN,VS222TAN,153,0.18,0,3.5
HMV1VS222TNTN,VS222TAN,153,0.18,0,3.5
TSPUVS222TNTN,VS222TAN,153,0.18,0,3.5
TSV1VS222TNTN,VS222TAN,153,0.18,0,3.5
ADAT0013BLBL,,255,0.18,0,0
ADAT0013BLRED,,255,0.18,0,0
ADAT0013BRBR,,255,0.18,0,0
ADAT0013MRBL,,255,0.18,0,0
