SKU,Master SKU,COG,GSTPerc,TransportationCost,StockistMarkup
AFAT0023MRBL,23MRBL,195,0.18,0,6
AFAT0023V1MRBL,23MRBL,195,0.18,0,6
AFAT0023MRBLU,23MRBLUE,195,0.18,0,6
AFWM00024BRBL,24BROWN,195,0.18,0,5
AFWM0024BRBR,24BROWN,195,0.18,0,5
AFAT0032BL,32BLACK,176,0.18,0,4
AFAT0032BLACK,32BLACK,176,0.18,0,4
AFAT0032BLACK1,32BLACK,176,0.18,0,4
AFAT0032BLBL,32BLACK,176,0.18,0,4
AFAT0032BLK,32BLACK,176,0.18,0,4
AFAT0032BLKBLK,32BLACK,176,0.18,0,4
AF00032BLUE,32BLUE,194,0.18,0,4
AF00032BROWN,32BROWN,176,0.18,0,4
AF0032BROWN,32BROWN,176,0.18,0,4
AFAT0032BR,32BROWN,176,0.18,0,4
9011BLACK,9011BLACK,103,0.18,0,3
AFCH9011BLBL,9011BLACK,103,0.18,0,3
AFKH9011BLK,9011BLACK,103,0.18,0,3
9011BLUE,9011BLUE,103,18,0,3
9011BROWN,9011BROWN,103,0.18,0,3
AFCH9011BRBR,9011BROWN,103,0.18,0,3
FRAT07BLBLFA,AT7BLACK,164,0.18,0,0
AFAT787BRBR,AT7BROWN,250,0.18,0,0
FRV1AT7BRBR,AT7BROWN,164,0.18,0,0
FRV1AT7TNTN,AT7TAN,164,0.18,0,0
AFATVS222BLBL,VS222BLACK,153,0.18,0,3.5
AFKHVS222BLACK,VS222BLACK,153,0.18,0,3.5
AFVS222BLACK,VS222BLACK,153,0.18,0,3.5
AFVS222BLBL,VS222BLACK,153,0.18,0,3.5
AFATVS222BRBR,VS222BROWN,153,0.18,0,3.5
AFATVS222BRBR,VS222BROWN,153,0.18,0,3.5
AFKHVS222BROWN,VS222BROWN,153,0.18,0,3.5
AFVS222BROWN,VS222BROWN,153,0.18,0,3.5
AFATVS222TNTN,VS222TAN,153,0.18,0,3.5
AFKHVS222TAN,VS222TAN,153,0.18,0,3.5
AFVS222TNTN,VS222TAN,153,0.18,0,3.5
9011NAVYBLUE,,113,0.18,0,0
AF0023BOWN,,250,18,0,0
AF0032NAVYBLUE,,176,0.18,0,0
AFAT0013BLBL,,255,0.18,0,0
AFAT0013BRBR,,255,0.18,0,0
AFAT0013MRBL,,255,0.18,0,0
AFAT0013MRBLU,,255,0.18,0,0
AFAT0013V1BRBR,,255,0.18,0,0
AFAT0013V9MRBL,,255,0.18,0,0
AFAT0013V9MRBLU,,255,0.18,0,0
AFAT0013V9TNBL,,255,0.18,0,0
AFAT0023BLBL,,250,0.18,0,0
AFAT0023BLBLU,,255,18,0,0
AFAT0023BRBL,,250,0.18,0,0
AFAT0023REDBL,,250,18,0,0
AFAT0023TNBR,,250,0.18,0,0
AFAT0023V1BLBLU,,250,0.18,0,0
AFAT0023V1TNBL,,250,0.18,0,0
AFAT0023V1TNBR,,250,0.18,0,0
AFAT0023V4BLBL,,250,0.18,0,0
AFAT0023V9BRTN,,250,0.18,0,0
AFAT0023V9REDBL,,250,0.18,0,0
AFAT0023V9TNBL,,250,0.18,0,0
AFAT0033NEWBRBR,,185,0.18,0,0
AFAT0044TNBLUE,,210,0.18,0,0
AFAT0044V1TNBLU,,250,0.18,0,0
AFFF800BLBL,,104,0.18,0,0
AFKHVS222NAVYBLU,,179,0.18,0,0
AFNYALOVETANBLTN,,250,0.18,0,0
AFNYALUPINBLBR,,250,0.18,0,0
AFSUF9015BRBR,,200,18,0,0
AFWM00014MRBLU,,255,0.18,0,0
AFWM00014TNBL,,255,0.18,0,0
AFWM00014V9BLBL,,255,0.18,0,0
AFWM00014V9BLRED,,255,0.18,0,0
AFWM00014V9BRBR,,255,0.18,0,0
AFWM00014V9MRBL,,255,0.18,0,0
AFWM00024BLBL,,250,0.18,0,0
AFWM00024BRTN,,250,0.18,0,0
AFWM00024MRBL,,250,0.18,0,0
AFWM00024MRBLU,,250,0.18,0,0
AFWM00024REDBL,,250,0.18,0,0
AFWM00024TNBL,,250,0.18,0,0
AFWM00024TNBR,,250,18,0,0
AFWM00024V1BLBL,,250,0.18,0,0
AFWM00024V1MRBLU,,250,0.18,0,0
AFWM00024V1TNBL,,250,0.18,0,0
AFWM00024V9BRTN,,250,0.18,0,0
AFWM00024V9TNBR,,250,0.18,0,0
AFWM00024V9TNBR,,250,0.18,0,0
AFWMAT0013BLBL,,255,0.18,0,0
